,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
690,1.0,113.56,300,1
691,1.0,29.82,112,0
692,1.0,350.0,5,0
693,1.0,20.0,1,0
694,1.29,87.47,156,0
695,1.0,3133.33,188,2
696,1.0,139.5,172,0
697,1.29,62.71,530,1
698,1.57,81.0,392,1
699,1.5,143.0,62,0
700,1.14,59.06,443,1
701,1.25,462.25,385,1
702,1.0,380.0,59,0
703,1.06,129.5,532,1
704,1.0,98.0,1,0
705,1.2,211.65,522,1
706,1.0,81.43,44,0
707,1.38,44.38,314,1
708,1.0,47.0,1,0
709,1.0,410.0,69,0
710,1.0,49.5,367,1
711,1.0,80.05,119,0
712,1.07,594.11,481,1
713,1.0,653.17,154,0
714,1.0,20.0,1,0
715,1.0,130.0,1,0
716,1.12,51.88,297,1
717,1.19,67.08,548,1
718,1.0,77.33,116,0
719,1.0,30.0,1,0
720,1.22,147.62,282,1
721,1.0,97.56,142,0
722,1.0,61.14,168,0
723,1.06,246.78,169,0
724,1.0,226.0,90,0
725,1.04,454.42,444,1
726,1.0,88.5,193,0
727,3.0,101.67,202,0
728,1.5,138.0,166,0
729,1.0,103.66,305,1
730,1.5,81.55,124,0
731,1.0,80.0,1,0
732,1.11,55.8,673,1
733,1.04,92.83,325,1
734,1.23,66.76,539,1
735,1.0,255.57,143,0
736,1.12,131.29,128,0
737,1.02,335.36,377,1
738,1.0,86.89,58,0
739,1.0,77.0,14,0
740,1.14,252.69,342,1
741,1.01,55.45,690,1
742,1.03,96.79,244,0
743,1.0,130.0,1,0
744,1.0,110.67,100,0
745,1.0,70.0,1,0
746,2.67,114.33,77,0
747,1.09,136.73,380,1
748,1.34,180.39,568,1
749,1.03,133.27,415,1
750,1.0,358.22,83,0
751,1.11,66.03,406,1
752,1.06,87.82,541,1
753,1.0,641.0,56,0
754,1.0,685.51,143,0
755,1.0,32.25,118,0
756,1.0,123.36,440,1
757,1.06,135.03,576,1
758,3.0,49.0,1,0
759,1.0,70.0,51,0
760,1.11,34.67,58,0
761,2.0,230.0,1,0
762,1.0,75.0,129,0
763,1.0,80.0,1,0
764,1.0,279.0,1,0
765,1.09,54.71,70,0
766,1.11,64.42,129,0
767,1.0,169.0,92,0
768,1.11,23.79,178,0
769,1.0,283.33,55,0
770,1.0,311.0,99,0
771,1.01,175.26,493,1
772,1.0,22.0,1,0
773,1.0,46.12,251,0
774,1.14,141.43,283,1
775,1.5,54.0,7,0
776,1.0,45.0,1,0
777,1.0,127.6,552,1
778,1.03,78.6,125,0
779,1.0,3360.0,96,2
780,1.0,189.12,97,0
781,2.11,58.5,569,1
782,1.0,120.0,77,0
783,2.0,96.0,1,0
784,1.04,145.44,258,0
785,1.0,99.0,1,0
786,1.0,309.0,1,0
787,1.71,85.0,54,0
788,1.38,63.19,568,1
789,1.19,123.14,570,1
790,1.67,616.67,101,0
